trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900285908,Annual Membership (Austin B-cycle),400,10/26/2014 14:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,10
9900289692,Walk Up,248,10/2/2015 21:12:01,1006,Zilker Park West,1008,Nueces @ 3rd,39
9900285987,24-Hour Kiosk (Austin B-cycle),446,10/26/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,31
9900285989,24-Hour Kiosk (Austin B-cycle),203,10/26/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,31
9900285991,24-Hour Kiosk (Austin B-cycle),101,10/26/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,30
9900286140,24-Hour Kiosk (Austin B-cycle),242,10/26/2014 18:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,19
9900286143,24-Hour Kiosk (Austin B-cycle),924,10/26/2014 18:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,17
9900286171,24-Hour Kiosk (Austin B-cycle),869,10/26/2014 18:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,6
9900286214,Annual Membership (Austin B-cycle),24,10/26/2014 20:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900286540,24-Hour Kiosk (Austin B-cycle),117,10/27/2014 15:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,12
13575843,Walk Up,302,1/29/2017 16:42:52,3464,Pease Park,3464,Pease Park,47
9900287264,Annual Membership (Austin B-cycle),447,10/29/2014 8:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,5
9900287291,24-Hour Kiosk (Austin B-cycle),894,10/29/2014 10:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,0
9900287293,24-Hour Kiosk (Austin B-cycle),996,10/29/2014 10:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,6
9900287294,24-Hour Kiosk (Austin B-cycle),894,10/29/2014 10:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,0
9900287378,Annual Membership (Austin B-cycle),827,10/29/2014 13:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,4
9900287414,Founding Member (Austin B-cycle),864,10/29/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,3
9900287606,Annual Membership (Austin B-cycle),513,10/29/2014 21:12:00,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,10
9900287861,24-Hour Kiosk (Austin B-cycle),965,10/30/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,59
9900287864,24-Hour Kiosk (Austin B-cycle),983,10/30/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,58
9900288008,24-Hour Kiosk (Austin B-cycle),969,10/30/2014 19:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,82
9900288149,Founding Member (Austin B-cycle),429,10/31/2014 11:12:00,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,16
9900288154,Annual Membership (Austin B-cycle),610,10/31/2014 12:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,3
9900290433,Local365,453,10/2/2015 21:12:42,1006,Zilker Park West,1008,Nueces @ 3rd,15
9900288210,Annual Membership (Austin B-cycle),223,10/31/2014 13:12:00,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,23
9900288274,24-Hour Kiosk (Austin B-cycle),198,10/31/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,76
9900288276,24-Hour Kiosk (Austin B-cycle),327,10/31/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,75
9900288278,24-Hour Kiosk (Austin B-cycle),41,10/31/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,74
9900288279,24-Hour Kiosk (Austin B-cycle),277,10/31/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,73
9900288288,Annual Membership (Austin B-cycle),197,10/31/2014 14:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,4
9900288333,Annual Membership (Austin B-cycle),158,10/31/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,1
9900288334,24-Hour Kiosk (Austin B-cycle),410,10/31/2014 15:12:00,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,11
9900288335,24-Hour Kiosk (Austin B-cycle),329,10/31/2014 15:12:00,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,12
9900288343,Annual Membership (Austin B-cycle),610,10/31/2014 15:12:00,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,4
9900288379,Annual Membership (Austin B-cycle),223,10/31/2014 16:12:00,2823,Capital Metro HQ - East 5th at Broadway,2536,Waller & 6th St.,10
9900288445,Annual Membership (Austin B-cycle),223,10/31/2014 17:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,1
9900288446,Annual Membership (Austin B-cycle),544,10/31/2014 17:12:00,2541,State Capitol @ 14th & Colorado,2823,Capital Metro HQ - East 5th at Broadway,20
9900288447,Annual Membership (Austin B-cycle),223,10/31/2014 17:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,14
9900288594,Weekender,822,10/1/2015 19:12:12,2568,East 11th St. at Victory Grill,2536,Waller & 6th St.,3
9900288695,Weekender,202,10/1/2015 8:12:20,2568,East 11th St. at Victory Grill,2536,Waller & 6th St.,11
9900288777,Weekender,854,10/1/2015 16:12:17,3291,11th & San Jacinto,1008,Nueces @ 3rd,20
9900288832,Weekender,202,10/1/2015 21:12:01,2536,Waller & 6th St.,2568,East 11th St. at Victory Grill,4
9900288863,Walk Up,230,10/1/2015 18:12:08,3291,11th & San Jacinto,2561,State Capitol Visitors Garage @ San Jacinto & 12th,35
9900288951,Local365,561,10/1/2015 23:12:03,3291,11th & San Jacinto,3291,11th & San Jacinto,19
9900288985,Local30,224,10/1/2015 19:12:19,2568,East 11th St. at Victory Grill,2576,Rainey @ River St,27
9900288998,Local365,140,10/1/2015 12:12:58,1008,Nueces @ 3rd,1008,Nueces @ 3rd,10
9900289083,Local365,938,10/1/2015 18:12:16,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,5
9900289091,Local30,221,10/1/2015 20:12:58,3291,11th & San Jacinto,2568,East 11th St. at Victory Grill,7
9900289108,Local30,969,10/1/2015 13:12:09,1008,Nueces @ 3rd,1008,Nueces @ 3rd,16
9900289112,Local30,969,10/1/2015 16:12:01,1008,Nueces @ 3rd,1008,Nueces @ 3rd,19
9900289126,Local365,546,10/1/2015 20:12:17,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900289130,Local365,132,10/1/2015 8:12:57,2536,Waller & 6th St.,1007,Lavaca & 6th,0
9900289157,Annual,800,10/1/2015 18:12:32,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,13
9900289236,Weekender,200,10/2/2015 16:12:52,3293,East 2nd & Pedernales,3293,East 2nd & Pedernales,32
9900289247,Walk Up,202,10/2/2015 12:12:30,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,0
